nm0250676	Gladys Egan	1900	1985	actress	tt0000629,tt0000640,tt0000628,tt0000644
nm0250983	Ann Eggleston	1866	1934	actress	tt0000519,tt0012069,tt0009782,tt0010566
nm0251436	N. Eiberg	\N	\N	actor	tt0001049,tt0000794
nm0252720	El Mochuelo	\N	\N	actor	tt0000502
nm0253298	Peter Elfelt	1866	1931	director,cinematographer,producer	tt0000442,tt0447976,tt1206579,tt1254744
nm0253652	George Eliot	1819	1880	writer	tt0029245,tt0047756,tt0031741,tt1019448
nm0256651	Empress Augusta Victoria	1858	1921		tt4385830,tt0000024,tt4452584,tt1082166
nm0257788	Frans Engström	1873	1940	cinematographer,producer,director	tt0324410,tt0138846,tt0202400,tt0229216
nm0257866	Adolphe d'Ennery	1811	1899	writer,soundtrack	tt0000499,tt0010949,tt0012532,tt0056473
nm0259860	Margery Bonney Erskine	1864	1949	actress	tt0003480,tt0002379,tt0005519,tt0005795
nm0260089	Line Eshrard	\N	\N	actress	tt2626388,tt1194293,tt0000388
nm0261789	Antonia Estrada	\N	\N	actress	tt0000542
nm0262757	Frank Evans	1849	1934	actor	tt0362731,tt0001459,tt0000898,tt0001283
nm0264569	Kate Fabian	1870	1929	actress,writer	tt0123135,tt0163578,tt2357484,tt2436368
nm0264710	Fabienne Fabrèges	1889	\N	actress,director,writer	tt0438336,tt1062376,tt0922900,tt0438259
nm0265289	Milton J. Fahrney	1872	1941	director,writer,actor	tt0484679,tt0484654,tt0484700,tt0016719
nm0265714	Geoffrey Faithfull	1893	1979	cinematographer,camera_department,director	tt0177852,tt0025925,tt0054443,tt0150610
nm0266080	Ugo Falena	1875	1931	director,writer,actor	tt0924279,tt0331044,tt0383482,tt0396759
nm0271357	Josep Feliú i Codina	1845	1893	writer	tt0013995,tt0012665,tt0032399,tt0013850
nm0272889	Nascimento Fernandes	1881	1955	actor,director,writer	tt0010503,tt0010845,tt0000613,tt0034461
nm0274368	Lino Ferreira	1884	1939	actor,director,writer	tt0000613,tt0000836,tt0013004,tt0001563
nm0275421	Louis Feuillade	1873	1925	director,writer,producer	tt0014897,tt0006206,tt0009905,tt2122391
nm0277411	Flora Finch	1867	1940	actress,producer	tt0018297,tt0195569,tt0017739,tt0142721
nm0278321	Antonio Fino	\N	\N	actor	tt0000165,tt0427588
nm0280432	Lewin Fitzhamon	1869	1961	director,writer,actor	tt1999864,tt2082477,tt2104113,tt2141791
nm0280615	Bob Fitzsimmons	1863	1917		tt4655120,tt0302719,tt0230692,tt0232530
nm0285947	Eugenie Forde	1879	1940	actress	tt0017132,tt0184451,tt0157487,tt0013909
nm0285961	Victoria Forde	1896	1964	actress,writer,director	tt0329786,tt0007554,tt0329787,tt0329789
nm0288616	Frank Powell	\N	\N	director,actor,writer	tt0008334,tt0005930,tt0006741,tt0005363
nm0292418	Jack Frawley	\N	\N	director,cinematographer,writer	tt0212822,tt3473580,tt3441612,tt3441556
nm0294022	Elvira Fremont	\N	\N	actress	tt0000941
nm0294276	Theo Frenkel	1871	1956	director,actor,writer	tt0010946,tt0014170,tt0010076,tt0006318
nm0298300	Martin Fuller	\N	\N	actor	tt0002471,tt0002259,tt0000488,tt0441223
nm0298301	Mary Fuller	1888	1973	actress,writer	tt0005720,tt0006837,tt0003127,tt0001257
nm0302368	Donald Gallaher	1895	1961	actor,director,miscellaneous	tt0029541,tt0020275,tt0020221,tt0021457
nm0302647	Señor Gallart	\N	\N	actor	tt0000673,tt0000885
nm0303066	Mario Gallo	1878	1945	director,producer	tt0190999,tt0191402,tt0191561,tt0191294
nm0304098	Abel Gance	1889	1981	writer,director,editor	tt0025027,tt0014417,tt0018192,tt0066855
nm0304862	Ferruccio Garavaglia	1868	1912	actor	tt1065465,tt0929464,tt0000998,tt0123088
nm0305591	Angel García Cardona	\N	\N	director,cinematographer	tt0266317,tt3159952,tt0000584
nm0307872	Robert-Jules Garnier	1883	1958	production_designer,art_director,set_decorator	tt0006206,tt0438377,tt0006886,tt0009905
nm0310155	Gene Gauntier	1885	1966	actress,writer,director	tt0233795,tt0234671,tt0255219,tt0255151
nm0311375	George Gebhardt	1879	1919	actor,director	tt0000640,tt0000787,tt0168581,tt0005935
nm0312148	José María Gelabert	\N	\N	writer	tt0000723
nm0316220	Joseph Giampietro	1866	1913	actor	tt0271598,tt0000847
nm0317210	W.A. Gibson	1870	1929	producer	tt0000574
nm0317715	Antonio Gil Varela 'Varillas'	1895	1937	actor,director	tt0013544,tt0028166,tt0012999,tt0016165
nm0324073	Nicolas Godin	1969	\N	soundtrack,composer,actor	tt0159097,tt0147800,tt0335266,tt0815245
nm0324473	Johann Wolfgang von Goethe	1749	1832	writer,soundtrack	tt0985699,tt0298845,tt12380806,tt4128226
nm0327201	Vasili Goncharov	1861	1915	director,writer,actor	tt0202131,tt0191382,tt0207193,tt0348306
nm0330352	Julia Swayne Gordon	1878	1933	actress	tt0192418,tt0007105,tt0014631,tt0004452
nm0331049	Charles Gorman	1865	1928	actor	tt0009721,tt0406938,tt0451334,tt0248484
nm0332182	Henri Gouget	\N	\N	actor	tt3752844,tt0400955,tt0311681,tt0443196
nm0333175	Axel Graatkjær	1885	1969	cinematographer,director,actor	tt0000988,tt0010953,tt0000599,tt0013496
nm0335788	Charley Grapewin	1869	1956	actor,soundtrack,writer	tt0028096,tt0032551,tt0026056,tt0032138
nm0338379	Tom Green	1852	1942	director,actor,writer	tt1254736,tt1254761,tt0000172,tt0213840
nm0339765	Carl Gregory	1882	1951	cinematographer,director,writer	tt0196720,tt0442098,tt0437659,tt0495944
nm0340020	René Gréhan	\N	\N	actor	tt1244117,tt3053504,tt1802472,tt0368755
nm0340719	Zane Grey	1872	1939	writer,director,actor	tt0024366,tt2363436,tt0027551,tt0018092
nm0346090	Señora Guerra	\N	\N	actress	tt0000632,tt0004482,tt0000885
nm0346387	Arthur Guest	1857	1937	actor	tt0000615
nm0346933	Luis Guilemany	\N	\N	actor	tt0000655
nm0347320	Àngel Guimerà	1847	1924	writer,director,soundtrack	tt0191561,tt0046431,tt0014345,tt0004306
nm0347565	Enrique Guitart padre	\N	\N	actor	tt0000622,tt0003807
nm0347566	Enrique Guitart	1909	1999	actor	tt0038921,tt0042406,tt0203156,tt0043011
nm0347571	Trini Guitart	\N	\N	actress	tt0000622
nm0349492	Eliseo Gutiérrez	1885	1929	actor	tt0191402,tt4622708,tt0000692,tt0190999
nm0349785	Alice Guy	1873	1968	director,producer,writer	tt0003365,tt0005790,tt0004833,tt0003676
nm0353575	Walter Haggar	1880	1953	actor	tt0231445,tt0892114,tt0000520,tt0000722
nm0353576	William Haggar	1851	1925	director,producer,editor	tt0989882,tt0925256,tt0925290,tt0925292
nm0353584	H. Rider Haggard	1856	1925	writer	tt5249144,tt0089421,tt2292558,tt0029081
nm0354726	Louis Halberstadt	1880	1961	director	tt0000559,tt0000566
nm0354803	Edith Haldeman	1905	1984	actress	tt0350639,tt0328061,tt0223155,tt0373100
nm0357890	Gustave Hamilton	1871	1951	actor	tt0039179,tt0026859,tt0143249,tt1209428
